approach,frequency,deviceType,iteration,timestamp,latency_ms,memory_mb,accuracy_percent,throughput_obs_sec,observations_processed,execution_time_ms,error
fetching-client-side,4Hz,smartphone,1,2025-09-17T08:16:13.925Z,0.03,-1.00,N/A,-1.00,-1,0.03,Error: Failed to load orchestrator for fetching-client-side: Error: Cannot find module '../approaches/StreamingQueryFetchingClientSideApproachOrchestrator'
Require stack:
- /Users/kushbisen/Code/streaming-query-hive/tools/experiments/run-frequency-experiment.ts
fetching-client-side,4Hz,smartphone,2,2025-09-17T08:16:13.925Z,0.02,-1.00,N/A,-1.00,-1,0.02,Error: Failed to load orchestrator for fetching-client-side: Error: Cannot find module '../approaches/StreamingQueryFetchingClientSideApproachOrchestrator'
Require stack:
- /Users/kushbisen/Code/streaming-query-hive/tools/experiments/run-frequency-experiment.ts
fetching-client-side,4Hz,smartphone,3,2025-09-17T08:16:13.925Z,0.02,-1.00,N/A,-1.00,-1,0.02,Error: Failed to load orchestrator for fetching-client-side: Error: Cannot find module '../approaches/StreamingQueryFetchingClientSideApproachOrchestrator'
Require stack:
- /Users/kushbisen/Code/streaming-query-hive/tools/experiments/run-frequency-experiment.ts
fetching-client-side,4Hz,smartphone,4,2025-09-17T08:16:13.925Z,0.02,-1.00,N/A,-1.00,-1,0.02,Error: Failed to load orchestrator for fetching-client-side: Error: Cannot find module '../approaches/StreamingQueryFetchingClientSideApproachOrchestrator'
Require stack:
- /Users/kushbisen/Code/streaming-query-hive/tools/experiments/run-frequency-experiment.ts
fetching-client-side,4Hz,smartphone,5,2025-09-17T08:16:13.925Z,0.02,-1.00,N/A,-1.00,-1,0.02,Error: Failed to load orchestrator for fetching-client-side: Error: Cannot find module '../approaches/StreamingQueryFetchingClientSideApproachOrchestrator'
Require stack:
- /Users/kushbisen/Code/streaming-query-hive/tools/experiments/run-frequency-experiment.ts
fetching-client-side,4Hz,wearable,1,2025-09-17T08:16:13.925Z,0.02,-1.00,N/A,-1.00,-1,0.02,Error: Failed to load orchestrator for fetching-client-side: Error: Cannot find module '../approaches/StreamingQueryFetchingClientSideApproachOrchestrator'
Require stack:
- /Users/kushbisen/Code/streaming-query-hive/tools/experiments/run-frequency-experiment.ts
fetching-client-side,4Hz,wearable,2,2025-09-17T08:16:13.925Z,0.02,-1.00,N/A,-1.00,-1,0.02,Error: Failed to load orchestrator for fetching-client-side: Error: Cannot find module '../approaches/StreamingQueryFetchingClientSideApproachOrchestrator'
Require stack:
- /Users/kushbisen/Code/streaming-query-hive/tools/experiments/run-frequency-experiment.ts
