timestamp,message
1758138812253,"SubQuery_0_query_registered"
1758138979584,"SubQuery_0_query_registered"
1758139010322,"RStream result generated: -9.0 at timestamp: 1758139010322"
1758139010322,"Filtered out result due to timing: -9.0"
1758139040431,"RStream result generated: -9.0 at timestamp: 1758139040431"
1758139040431,"Processing valid result: -9.0"
1758139040432,"Generated aggregation event for result: -9.0"
1758139040437,"Successfully published result: -9.0"
1758139070007,"RStream result generated: -9.0 at timestamp: 1758139070007"
1758139070007,"Filtered out result due to timing: -9.0"
1758139584974,"SubQuery_0_query_registered"
1758139615462,"RStream result generated: -9.0 at timestamp: 1758139615462"
1758139615462,"Filtered out result due to timing: -9.0"
1758139645734,"RStream result generated: -9.0 at timestamp: 1758139645734"
1758139645734,"Processing valid result: -9.0"
1758139645735,"Generated aggregation event for result: -9.0"
1758139645744,"Successfully published result: -9.0"
1758139787037,"SubQuery_0_query_registered"
1758139926443,"SubQuery_0_query_registered"
1758139956923,"RStream result generated: -16.0 at timestamp: 1758139956923"
1758139956923,"Filtered out result due to timing: -16.0"
1758139986879,"RStream result generated: -16.0 at timestamp: 1758139986879"
1758139986879,"Processing valid result: -16.0"
1758139986880,"Generated aggregation event for result: -16.0"
1758139986885,"Successfully published result: -16.0"
1758139999580,"SubQuery_0_query_registered"
1758140029891,"RStream result generated: -16.0 at timestamp: 1758140029891"
1758140029891,"Filtered out result due to timing: -16.0"
1758140060052,"RStream result generated: -16.0 at timestamp: 1758140060052"
1758140060052,"Processing valid result: -16.0"
1758140060052,"Generated aggregation event for result: -16.0"
1758140060055,"Successfully published result: -16.0"
1758140072710,"SubQuery_0_query_registered"
1758140103032,"RStream result generated: -16.0 at timestamp: 1758140103032"
1758140103032,"Filtered out result due to timing: -16.0"
1758140133195,"RStream result generated: -16.0 at timestamp: 1758140133195"
1758140133195,"Processing valid result: -16.0"
1758140133196,"Generated aggregation event for result: -16.0"
1758140133198,"Successfully published result: -16.0"
1758140140841,"SubQuery_0_query_registered"
1758140171006,"RStream result generated: -9.0 at timestamp: 1758140171006"
1758140171006,"Filtered out result due to timing: -9.0"
1758140201283,"RStream result generated: -9.0 at timestamp: 1758140201283"
1758140201283,"Processing valid result: -9.0"
1758140201283,"Generated aggregation event for result: -9.0"
1758140201286,"Successfully published result: -9.0"
1758140214349,"SubQuery_0_query_registered"
1758140244572,"RStream result generated: -9.0 at timestamp: 1758140244572"
1758140244572,"Filtered out result due to timing: -9.0"
1758140274843,"RStream result generated: -9.0 at timestamp: 1758140274843"
1758140274843,"Processing valid result: -9.0"
1758140274843,"Generated aggregation event for result: -9.0"
1758140274844,"Successfully published result: -9.0"
1758140287647,"SubQuery_0_query_registered"
1758140317888,"RStream result generated: -9.0 at timestamp: 1758140317888"
1758140317888,"Filtered out result due to timing: -9.0"
1758140348149,"RStream result generated: -9.0 at timestamp: 1758140348149"
1758140348149,"Processing valid result: -9.0"
1758140348149,"Generated aggregation event for result: -9.0"
1758140348150,"Successfully published result: -9.0"
1758140356031,"SubQuery_0_query_registered"
1758140386338,"RStream result generated: -9.0 at timestamp: 1758140386338"
1758140386338,"Filtered out result due to timing: -9.0"
1758140416999,"RStream result generated: -9.0 at timestamp: 1758140416999"
1758140416999,"Processing valid result: -9.0"
1758140416999,"Generated aggregation event for result: -9.0"
1758140417002,"Successfully published result: -9.0"
1758140429506,"SubQuery_0_query_registered"
1758140470659,"RStream result generated: -9.0 at timestamp: 1758140470659"
1758140470659,"Filtered out result due to timing: -9.0"
1758140529721,"SubQuery_0_query_registered"
1758140604740,"SubQuery_0_query_registered"
1758140694675,"SubQuery_0_query_registered"
1758140793870,"SubQuery_0_query_registered"
1758140874236,"SubQuery_0_query_registered"
